Player Name,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
1,,,,,,,,,,,,,,,,,,,,
Donovan Mitchell,,,,,,,,,,,,,,,,,,,,
57,32.3,19.7,7.3,16.7,43.7,2.4,6.7,35.8,2.7,3.2,83.7,0.6,2.9,3.5,3.5,1.5,0.4,2.6,16.1,
2,,,,,,,,,,,,,,,,,,,,
Ben Simmons,,,,,,,,,,,,,,,,,,,,
56,34.8,16.7,7.1,13.3,53.4,0,0.2,0,2.6,4.5,56.7,1.8,5.9,7.7,7.4,1.9,0.9,3.6,22.8,
3,,,,,,,,,,,,,,,,,,,,
Kyle Kuzma,,,,,,,,,,,,,,,,,,,,
58,29.3,15.5,5.9,13.2,44.8,1.9,5.3,35.8,1.8,2.5,70.7,1.2,4.6,5.8,1.7,0.6,0.5,1.7,14.3,
4,,,,,,,,,,,,,,,,,,,,
Lauri Markkanen,,,,,,,,,,,,,,,,,,,,
53,30.3,14.8,5.4,12.7,42.3,2.1,6.2,34.7,1.9,2.3,85.1,1.2,6.5,7.7,1.2,0.5,0.6,1.3,16,
5,,,,,,,,,,,,,,,,,,,,
Dennis Smith Jr.,,,,,,,,,,,,,,,,,,,,
52,29.3,14.7,5.6,14.4,38.9,1.5,4.9,30.9,1.9,2.8,68.7,0.7,3.3,3.9,4.8,1,0.3,2.9,12.1,
6,,,,,,,,,,,,,,,,,,,,
Jayson Tatum,,,,,,,,,,,,,,,,,,,,
61,30.8,13.5,4.8,10,47.5,1.3,3,42.9,2.7,3.3,82.9,0.7,4.4,5,1.4,1,0.8,1.3,14.6,
7,,,,,,,,,,,,,,,,,,,,
Bogdan Bogdanovic,,,,,,,,,,,,,,,,,,,,
56,27.3,11.5,4.3,9.3,46.4,1.6,4,40.4,1.3,1.5,84.5,0.4,2.4,2.8,3.2,1,0.3,1.7,11.8,
8,,,,,,,,,,,,,,,,,,,,
De'Aaron Fox,,,,,,,,,,,,,,,,,,,,
51,27.3,11.3,4.3,10.5,40.9,0.6,1.9,32.7,2,2.8,73.2,0.5,2.1,2.6,4.3,1,0.2,2.4,10.1,
9,,,,,,,,,,,,,,,,,,,,
Josh Jackson,,,,,,,,,,,,,,,,,,,,
59,23.4,11.2,4.4,10.7,40.7,0.7,2.8,26.7,1.8,2.9,60.7,1.2,3,4.1,1.2,0.8,0.4,1.7,8.7,
10,,,,,,,,,,,,,,,,,,,,
John Collins,,,,,,,,,,,,,,,,,,,,
54,22.5,10.2,4.1,7.1,58.1,0.1,0.4,31.6,1.8,2.5,73.3,2.6,4.4,7,1,0.6,1.2,1.3,15,
11,,,,,,,,,,,,,,,,,,,,
Lonzo Ball,,,,,,,,,,,,,,,,,,,,
37,33.5,10.2,3.9,11,35.6,1.7,5.4,30.8,0.6,1.4,48,1.4,5.8,7.1,7.1,1.5,0.9,2.7,16.2,
12,,,,,,,,,,,,,,,,,,,,
Milos Teodosic,,,,,,,,,,,,,,,,,,,,
29,24.8,9.2,3.2,8.3,38.8,1.9,5.5,35,0.8,0.9,88,0.5,2.5,3,5,0.5,0.1,2.3,10.3,
13,,,,,,,,,,,,,,,,,,,,
Dillon Brooks,,,,,,,,,,,,,,,,,,,,
58,28.2,9,3.5,7.8,44.7,1,2.7,36.7,1,1.4,73.2,0.5,2.6,3.1,1.4,0.8,0.2,1.3,8.6,
14,,,,,,,,,,,,,,,,,,,,
Jarrett Allen,,,,,,,,,,,,,,,,,,,,
51,18.4,7.6,3.1,5.3,58.5,0.1,0.2,33.3,1.4,1.8,76.9,1.9,3.2,5.1,0.6,0.5,0.8,1,11.1,
15,,,,,,,,,,,,,,,,,,,,
Frank Mason,,,,,,,,,,,,,,,,,,,,
31,18.3,7.5,2.6,6.8,38.6,0.6,1.4,40.9,1.7,2.2,77.6,0.5,1.7,2.1,3,0.5,0.1,1.2,7.4,
16,,,,,,,,,,,,,,,,,,,,
Bam Adebayo,,,,,,,,,,,,,,,,,,,,
51,20.5,7.4,2.7,4.8,55.1,0,0.1,0,2,2.8,73.2,1.6,3.8,5.4,1.6,0.6,0.7,0.9,11.8,
17,,,,,,,,,,,,,,,,,,,,
Luke Kennard,,,,,,,,,,,,,,,,,,,,
52,18.3,6.6,2.5,5.7,43.5,1,2.4,40.8,0.7,0.8,85,0.3,1.8,2.1,1.4,0.6,0.1,0.9,6.6,
18,,,,,,,,,,,,,,,,,,,,
Josh Hart,,,,,,,,,,,,,,,,,,,,
54,21.4,6.5,2.3,5.1,45.8,1.1,2.7,39.3,0.8,1.1,66.1,0.6,3.2,3.8,1.2,0.7,0.2,0.6,8.6,
19,,,,,,,,,,,,,,,,,,,,
C.J. Williams,,,,,,,,,,,,,,,,,,,,
28,19.4,5.9,2.4,5.2,46.2,0.8,2.1,35,0.4,0.5,78.6,0.4,1.2,1.5,0.9,0.9,0.5,0.6,6.2,
20,,,,,,,,,,,,,,,,,,,,
Justin Jackson,,,,,,,,,,,,,,,,,,,,
45,19.5,5.9,2.4,5.7,42.6,0.7,2.4,29.6,0.3,0.5,65.2,0.4,2,2.4,0.9,0.4,0.2,0.6,5.8,
21,,,,,,,,,,,,,,,,,,,,
OG Anunoby,,,,,,,,,,,,,,,,,,,,
58,20.7,5.8,2.1,4.8,44.3,1,2.8,34.5,0.6,0.8,69.4,0.6,1.8,2.5,0.8,0.8,0.2,0.6,6.5,
22,,,,,,,,,,,,,,,,,,,,
Jawun Evans,,,,,,,,,,,,,,,,,,,,
38,18.4,5.6,2.2,6.3,34.3,0.3,1.3,26.5,1,1.2,78.7,0.2,1.8,2,2.4,0.9,0.2,1.1,5.6,
23,,,,,,,,,,,,,,,,,,,,
Frank Ntilikina,,,,,,,,,,,,,,,,,,,,
58,20.3,5.3,2.1,5.8,35.5,0.6,1.8,32.4,0.6,0.9,69.8,0.4,1.7,2.1,3.1,0.9,0.2,1.8,5.9,
24,,,,,,,,,,,,,,,,,,,,
Maxi Kleber,,,,,,,,,,,,,,,,,,,,
53,17.4,5.3,2.2,4.5,47.9,0.5,1.7,28.4,0.5,0.7,70.3,1.1,2,3.1,0.7,0.4,0.7,0.4,7.2,
25,,,,,,,,,,,,,,,,,,,,
Daniel Theis,,,,,,,,,,,,,,,,,,,,
59,14.6,5.2,2,3.7,53.7,0.3,0.9,32.7,1,1.3,75,1.4,2.9,4.3,0.8,0.5,0.8,0.9,8.7,
26,,,,,,,,,,,,,,,,,,,,
Royce O'Neale,,,,,,,,,,,,,,,,,,,,
47,15.2,5.1,1.7,4.1,42.7,0.7,1.7,37.8,1,1.3,79.7,0.4,2.8,3.2,1.4,0.5,0.1,0.7,7,
27,,,,,,,,,,,,,,,,,,,,
Jordan Bell,,,,,,,,,,,,,,,,,,,,
38,14.4,5.1,2.3,3.4,66.4,0,0.1,0,0.5,0.8,66.7,1.2,2.7,3.9,1.8,0.7,1.1,1,10.1,
28,,,,,,,,,,,,,,,,,,,,
Tyler Dorsey,,,,,,,,,,,,,,,,,,,,
34,12.9,5,1.7,4.6,37.6,0.9,2.6,36,0.6,0.9,69,0.3,1.5,1.8,1.1,0.2,0.1,0.4,4.7,
29,,,,,,,,,,,,,,,,,,,,
Tyler Cavanaugh,,,,,,,,,,,,,,,,,,,,
30,13.8,5,1.8,3.9,47.4,0.9,2.4,36.6,0.4,0.6,76.5,1.1,2.2,3.3,0.8,0.3,0.1,0.4,7,
30,,,,,,,,,,,,,,,,,,,,
Malik Monk,,,,,,,,,,,,,,,,,,,,
43,11.5,4.7,1.7,5.1,33,1,3,33.1,0.3,0.4,70.6,0,0.7,0.8,1.1,0.2,0.1,0.5,2.7,
31,,,,,,,,,,,,,,,,,,,,
Torrey Craig,,,,,,,,,,,,,,,,,,,,
26,16.1,4.3,1.6,3.5,45.1,0.4,1.5,26.3,0.7,1.1,65.5,1,2,3,0.7,0.3,0.2,0.4,5.7,
32,,,,,,,,,,,,,,,,,,,,
Sterling Brown,,,,,,,,,,,,,,,,,,,,
34,15,4.2,1.6,3.9,40.6,0.7,1.7,39.7,0.4,0.4,85.7,0.5,2.4,2.9,0.4,0.8,0.3,0.5,5.7,
33,,,,,,,,,,,,,,,,,,,,
Zach Collins,,,,,,,,,,,,,,,,,,,,
44,15.1,4,1.6,4.1,38.9,0.5,1.5,31.3,0.4,0.6,57.1,0.7,2.6,3.3,0.8,0.3,0.5,0.8,5.3,
34,,,,,,,,,,,,,,,,,,,,
Wes Iwundu,,,,,,,,,,,,,,,,,,,,
41,14.5,3.5,1.4,3.1,45.7,0.1,0.6,23.1,0.5,0.7,75.9,0.5,1.6,2.1,0.9,0.5,0.2,0.4,4.9,
35,,,,,,,,,,,,,,,,,,,,
Khem Birch,,,,,,,,,,,,,,,,,,,,
23,11.9,3.3,1.3,2.5,52.6,0,0,0,0.7,1.2,60.7,1.5,2.1,3.6,0.7,0.4,0.4,0.5,6.3,
36,,,,,,,,,,,,,,,,,,,,
Cedi Osman,,,,,,,,,,,,,,,,,,,,
48,9.7,3.2,1.2,2.5,49.2,0.4,1,38.8,0.4,0.6,56.7,0.2,1.6,1.8,0.4,0.3,0.1,0.4,3.9,
37,,,,,,,,,,,,,,,,,,,,
Sindarius Thornwell,,,,,,,,,,,,,,,,,,,,
50,12.8,3.2,1.1,2.5,44.4,0.3,0.8,38.5,0.6,0.9,67.4,0.3,1.2,1.4,0.7,0.5,0.3,0.6,3.8,
38,,,,,,,,,,,,,,,,,,,,
TJ Leaf,,,,,,,,,,,,,,,,,,,,
43,9.3,3.1,1.3,2.7,47,0.4,0.8,47.2,0.2,0.3,66.7,0.6,1,1.6,0.2,0.1,0.1,0.2,3.3,
39,,,,,,,,,,,,,,,,,,,,
Terrance Ferguson,,,,,,,,,,,,,,,,,,,,
45,12.3,3,1.1,2.8,39.8,0.6,2,30.7,0.1,0.1,83.3,0.4,0.4,0.8,0.3,0.4,0.1,0.2,2.6,
40,,,,,,,,,,,,,,,,,,,,
Damyean Dotson,,,,,,,,,,,,,,,,,,,,
28,8.5,2.8,1.1,2.7,41.3,0.3,1.2,27.3,0.3,0.3,77.8,0.2,1.3,1.4,0.5,0.3,0,0.3,3.1,
41,,,,,,,,,,,,,,,,,,,,
Dwayne Bacon,,,,,,,,,,,,,,,,,,,,
38,12.5,2.7,1.1,3.1,34.7,0.3,0.9,30.3,0.3,0.4,71.4,0.1,2.3,2.4,0.6,0.2,0.1,0.4,3.4,
42,,,,,,,,,,,,,,,,,,,,
Alex Caruso,,,,,,,,,,,,,,,,,,,,
24,12.9,2.6,1,2.5,41.7,0.2,0.8,25,0.3,0.5,58.3,0.3,1,1.3,1.9,0.5,0.3,0.9,4,
43,,,,,,,,,,,,,,,,,,,,
Abdel Nader,,,,,,,,,,,,,,,,,,,,
29,9.3,2.5,0.9,2.7,34.6,0.5,1.3,35.9,0.2,0.4,45.5,0.3,1,1.2,0.6,0.2,0.1,0.7,2.1,
44,,,,,,,,,,,,,,,,,,,,
Brandon Paul,,,,,,,,,,,,,,,,,,,,
53,9.2,2.5,0.9,2.1,44,0.3,0.9,28.6,0.4,0.6,60.6,0.1,1.1,1.2,0.7,0.5,0.1,0.4,3,
45,,,,,,,,,,,,,,,,,,,,
Semi Ojeleye,,,,,,,,,,,,,,,,,,,,
53,14.1,2.4,0.8,2.5,30.8,0.5,1.9,29,0.3,0.5,64,0.5,1.5,1.9,0.2,0.3,0,0.3,2.7,
46,,,,,,,,,,,,,,,,,,,,
Dakari Johnson,,,,,,,,,,,,,,,,,,,,
26,5.8,2,0.8,1.5,55.3,0,0,0,0.4,0.7,55.6,0.6,0.7,1.2,0.3,0.2,0.3,0.1,3,
47,,,,,,,,,,,,,,,,,,,,
Guerschon Yabusele,,,,,,,,,,,,,,,,,,,,
22,5,1.8,0.6,1.5,40.6,0.4,1,36.4,0.2,0.4,55.6,0.5,0.9,1.4,0.3,0.1,0.1,0.3,2.2,
